Year,Brand,Set,Card Number,Player,Notes
1980,Topps,Topps,1,Lou Brock,1979 Highlights Card
1980,Topps,Topps,2,Willie McCovey,1979 Highlights Card
1980,Topps,Topps,3,Manny Mota,1979 Highlights Card
1980,Topps,Topps,4,Pete Rose,1979 Highlights Card
1980,Topps,Topps,5,Garry Templeton,1979 Highlights Card
1980,Topps,Topps,6,Del Unser,1979 Highlights Card
1980,Topps,Topps,7,Mike Lum,
1980,Topps,Topps,8,Craig Swan,
1980,Topps,Topps,9,Steve Braun,
1980,Topps,Topps,10,Dennis Martinez,
1980,Topps,Topps,11,Jimmy Sexton,
1980,Topps,Topps,12,John Curtis,
1980,Topps,Topps,13,Ron Pruitt,
1980,Topps,Topps,14,Dave Cash,
1980,Topps,Topps,15,Bill Campbell,
1980,Topps,Topps,16,Jerry Narron,Rookie Card
1980,Topps,Topps,17,Bruce Sutter,
1980,Topps,Topps,18,Ron Jackson,
1980,Topps,Topps,19,Balor Moore,
1980,Topps,Topps,20,Dan Ford,
1980,Topps,Topps,21,Manny Sarmiento,
1980,Topps,Topps,22,Pat Putnam,
1980,Topps,Topps,23,Derrel Thomas,
1980,Topps,Topps,24,Jim Slaton,
1980,Topps,Topps,25,Lee Mazzilli,
1980,Topps,Topps,26,Marty Pattin,
1980,Topps,Topps,27,Del Unser,
1980,Topps,Topps,28,Bruce Kison,
1980,Topps,Topps,29,Mark Wagner,
1980,Topps,Topps,30,Vida Blue,
1980,Topps,Topps,31,Jay Johnstone,
1980,Topps,Topps,32,Julio Cruz,
1980,Topps,Topps,33,Tony Scott,
1980,Topps,Topps,34,Jeff Newman,
1980,Topps,Topps,35,Luis Tiant,
1980,Topps,Topps,36,Rusty Torres,
1980,Topps,Topps,37,Kiko Garcia,
1980,Topps,Topps,38,Dan Spillner,
1980,Topps,Topps,39,Rowland Office,
1980,Topps,Topps,40,Carlton Fisk,
1980,Topps,Topps,41,Pat Corrales,Texas Rangers Team Checklist
1980,Topps,Topps,42,Dave Palmer,Rookie Card
1980,Topps,Topps,43,Bombo Rivera,
1980,Topps,Topps,44,Bill Fahey,
1980,Topps,Topps,45,Frank White,
1980,Topps,Topps,46,Rico Carty,
1980,Topps,Topps,47,Bill Bonham,
1980,Topps,Topps,48,Rick Miller,
1980,Topps,Topps,49,Mario Guerrero,
1980,Topps,Topps,50,J.R. Richard,
1980,Topps,Topps,51,Joe Ferguson,
1980,Topps,Topps,52,Warren Brusstar,
1980,Topps,Topps,53,Ben Oglivie,
1980,Topps,Topps,54,Dennis Lamp,
1980,Topps,Topps,55,Bill Madlock,
1980,Topps,Topps,56,Bobby Valentine,
1980,Topps,Topps,57,Pete Vuckovich,
1980,Topps,Topps,58,Doug Flynn,
1980,Topps,Topps,59,Ed Putman,Rookie Card
1980,Topps,Topps,60,Bucky Dent,
1980,Topps,Topps,61,Gary Serum,
1980,Topps,Topps,62,Mike Ivie,
1980,Topps,Topps,63,Bob Stanley,
1980,Topps,Topps,64,Joe Nolan,
1980,Topps,Topps,65,Al Bumbry,
1980,Topps,Topps,66,Jim Frey,Kansas City Royals Team Checklist
1980,Topps,Topps,67,Doyle Alexander,
1980,Topps,Topps,68,Larry Harlow,
1980,Topps,Topps,69,Rick Williams,
1980,Topps,Topps,70,Gary Carter,
1980,Topps,Topps,71,John Milner,
1980,Topps,Topps,72,Fred Howard,Rookie Card
1980,Topps,Topps,73,Dave Collins,
1980,Topps,Topps,74,Sid Monge,
1980,Topps,Topps,75,Bill Russell,
1980,Topps,Topps,76,John Stearns,
1980,Topps,Topps,77,Dave Stieb,Rookie Card
1980,Topps,Topps,78,Ruppert Jones,
1980,Topps,Topps,79,Bob Owchinko,
1980,Topps,Topps,80,Ron LeFlore,
1980,Topps,Topps,81,Ted Sizemore,
1980,Topps,Topps,82,Bill Virdon,Houston Astros Team Checklist
1980,Topps,Topps,83,Steve Trout,
1980,Topps,Topps,84,Gary Lavelle,
1980,Topps,Topps,85,Ted Simmons,
1980,Topps,Topps,86,Dave Hamilton,
1980,Topps,Topps,87,Pepe Frias,
1980,Topps,Topps,88,Ken Landreaux,
1980,Topps,Topps,89,Don Hood,
1980,Topps,Topps,90,Manny Trillo,
1980,Topps,Topps,91,Rick Dempsey,
1980,Topps,Topps,92,Rick Rhoden,
1980,Topps,Topps,93,Dave Roberts,
1980,Topps,Topps,94,Neil Allen,Rookie Card
1980,Topps,Topps,95,Cecil Cooper,
1980,Topps,Topps,96,Jim Marshall,Oakland A's Team Checklist
1980,Topps,Topps,97,Bill Lee,
1980,Topps,Topps,98,Jerry Terrell,
1980,Topps,Topps,99,Victor Cruz,
1980,Topps,Topps,100,Johnny Bench,
1980,Topps,Topps,101,Aurelio Lopez,
1980,Topps,Topps,102,Rich Dauer,
1980,Topps,Topps,103,Bill Caudill,Rookie Card
1980,Topps,Topps,104,Manny Mota,
1980,Topps,Topps,105,Frank Tanana,
1980,Topps,Topps,106,Jeffrey Leonard,Rookie Card
1980,Topps,Topps,107,Francisco Barrios,
1980,Topps,Topps,108,Bob Horner,
1980,Topps,Topps,109,Bill Travers,
1980,Topps,Topps,110,Fred Lynn,
1980,Topps,Topps,111,Bob Knepper,
1980,Topps,Topps,112,Tony La Russa,Chicago White Sox Team Checklist
1980,Topps,Topps,113,Geoff Zahn,
1980,Topps,Topps,114,Juan Beniquez,
1980,Topps,Topps,115,Sparky Lyle,
1980,Topps,Topps,116,Larry Cox,
1980,Topps,Topps,117,Dock Ellis,
1980,Topps,Topps,118,Phil Garner,
1980,Topps,Topps,119,Sammy Stewart,
1980,Topps,Topps,120,Greg Luzinski,
1980,Topps,Topps,121,Checklist (1-121),
1980,Topps,Topps,122,Dave Rosello,
1980,Topps,Topps,123,Lynn Jones,
1980,Topps,Topps,124,Dave Lemanczyk,
1980,Topps,Topps,125,Tony Perez,
1980,Topps,Topps,126,Dave Tomlin,
1980,Topps,Topps,127,Gary Thomasson,
1980,Topps,Topps,128,Tom Burgmeier,
1980,Topps,Topps,129,Craig Reynolds,
1980,Topps,Topps,130,Amos Otis,
1980,Topps,Topps,131,Paul Mitchell,
1980,Topps,Topps,132,Biff Pocoroba,
1980,Topps,Topps,133,Jerry Turner,
1980,Topps,Topps,134,Matt Keough,
1980,Topps,Topps,135,Bill Buckner,
1980,Topps,Topps,136,Dick Ruthven,
1980,Topps,Topps,137,John Castino,Rookie Card
1980,Topps,Topps,138,Ross Baumgarten,
1980,Topps,Topps,139,Dane Iorg,
1980,Topps,Topps,140,Rich Gossage,
1980,Topps,Topps,141,Gary Alexander,
1980,Topps,Topps,142,Phil Huffman,Rookie Card
1980,Topps,Topps,143,Bruce Bochte,
1980,Topps,Topps,144,Steve Comer,
1980,Topps,Topps,145,Darrell Evans,
1980,Topps,Topps,146,Bob Welch,
1980,Topps,Topps,147,Terry Puhl,
1980,Topps,Topps,148,Manny Sanguillen,
1980,Topps,Topps,149,Tom Hume,
1980,Topps,Topps,150,Jason Thompson,
1980,Topps,Topps,151,Tom Hausman,
1980,Topps,Topps,152,John Fulgham,Rookie Card
1980,Topps,Topps,153,Tim Blackwell,
1980,Topps,Topps,154,Lary Sorensen,
1980,Topps,Topps,155,Jerry Remy,
1980,Topps,Topps,156,Tony Brizzolara,Rookie Card
1980,Topps,Topps,157,Willie Wilson,
1980,Topps,Topps,158,Rob Picciolo,
1980,Topps,Topps,159,Ken Clay,
1980,Topps,Topps,160,Eddie Murray,
1980,Topps,Topps,161,Larry Christenson,
1980,Topps,Topps,162,Bob Randall,
1980,Topps,Topps,163,Steve Swisher,
1980,Topps,Topps,164,Greg Pryor,
1980,Topps,Topps,165,Omar Moreno,
1980,Topps,Topps,166,Glenn Abbott,
1980,Topps,Topps,167,Jack Clark,
1980,Topps,Topps,168,Rick Waits,
1980,Topps,Topps,169,Luis Gomez,
1980,Topps,Topps,170,Burt Hooton,
1980,Topps,Topps,171,Fernando Gonzalez,
1980,Topps,Topps,172,Ron Hodges,
1980,Topps,Topps,173,John Henry Johnson,
1980,Topps,Topps,174,Ray Knight,
1980,Topps,Topps,175,Rick Reuschel,
1980,Topps,Topps,176,Champ Summers,
1980,Topps,Topps,177,Dave Heaverlo,
1980,Topps,Topps,178,Tim McCarver,
1980,Topps,Topps,179,Ron Davis,Rookie Card
1980,Topps,Topps,180,Warren Cromartie,
1980,Topps,Topps,181,Moose Haas,
1980,Topps,Topps,182,Ken Reitz,
1980,Topps,Topps,183,Jim Anderson,
1980,Topps,Topps,184,Steve Renko,
1980,Topps,Topps,185,Hal McRae,
1980,Topps,Topps,186,Junior Moore,
1980,Topps,Topps,187,Alan Ashby,
1980,Topps,Topps,188,Terry Crowley,
1980,Topps,Topps,189,Kevin Kobel,
1980,Topps,Topps,190,Buddy Bell,
1980,Topps,Topps,191,Ted Martinez,
1980,Topps,Topps,192,Bobby Cox,Atlanta Braves Team Checklist
1980,Topps,Topps,193,Dave Goltz,
1980,Topps,Topps,194,Mike Easler,
1980,Topps,Topps,195,John Montefusco,
1980,Topps,Topps,196,Lance Parrish,AL RBI Leaders
1980,Topps,Topps,197,Byron McLaughlin,
1980,Topps,Topps,198,Dell Alston,
1980,Topps,Topps,199,Mike LaCoss,
1980,Topps,Topps,200,Jim Rice,
1980,Topps,Topps,201,Keith Hernandez,Batting Leaders
1980,Topps,Topps,202,Dave Kingman,Home Run Leaders
1980,Topps,Topps,203,Don Baylor,RBI Leaders
1980,Topps,Topps,204,Omar Moreno,Stolen Base Leaders
1980,Topps,Topps,205,Mike Flanagan,Victory Leaders
1980,Topps,Topps,206,J.R. Richard,Strikeout Leaders
1980,Topps,Topps,207,Ron Guidry,ERA Leaders
1980,Topps,Topps,208,Wayne Cage,
1980,Topps,Topps,209,Von Joshua,
1980,Topps,Topps,210,Steve Carlton,
1980,Topps,Topps,211,Dave Skaggs,
1980,Topps,Topps,212,Dave Roberts,
1980,Topps,Topps,213,Mike Jorgensen,
1980,Topps,Topps,214,Jim Fregosi,California Angels Team Checklist
1980,Topps,Topps,215,Sixto Lezcano,
1980,Topps,Topps,216,Phil Mankowski,
1980,Topps,Topps,217,Ed Halicki,
1980,Topps,Topps,218,Jose Morales,
1980,Topps,Topps,219,Steve Mingori,
1980,Topps,Topps,220,Dave Concepcion,
1980,Topps,Topps,221,Joe Cannon,Rookie Card
1980,Topps,Topps,222,Ron Hassey,
1980,Topps,Topps,223,Bob Sykes,
1980,Topps,Topps,224,Willie Montanez,
1980,Topps,Topps,225,Lou Piniella,
1980,Topps,Topps,226,Bill Stein,
1980,Topps,Topps,227,Len Barker,
1980,Topps,Topps,228,Johnny Oates,
1980,Topps,Topps,229,Jim Bibby,
1980,Topps,Topps,230,Dave Winfield,
1980,Topps,Topps,231,Steve McCatty,
1980,Topps,Topps,232,Alan Trammell,
1980,Topps,Topps,233,La Rue Washington,
1980,Topps,Topps,234,Vern Ruhle,
1980,Topps,Topps,235,Andre Dawson,
1980,Topps,Topps,236,Marc Hill,
1980,Topps,Topps,237,Scott McGregor,
1980,Topps,Topps,238,Rob Wilfong,
1980,Topps,Topps,239,Don Aase,
1980,Topps,Topps,240,Dave Kingman,
1980,Topps,Topps,241,Checklist (122-242),
1980,Topps,Topps,242,Lamar Johnson,
1980,Topps,Topps,243,Jerry Augustine,
1980,Topps,Topps,244,Ken Boyer,St. Louis Cardinals Team Checklist
1980,Topps,Topps,245,Phil Niekro,
1980,Topps,Topps,246,Tim Foli,
1980,Topps,Topps,247,Frank Riccelli,
1980,Topps,Topps,248,Jamie Quirk,
1980,Topps,Topps,249,Jim Clancy,
1980,Topps,Topps,250,Jim Kaat,
1980,Topps,Topps,251,Kip Young,
1980,Topps,Topps,252,Ted Cox,
1980,Topps,Topps,253,John Montague,
1980,Topps,Topps,254,Paul Dade,
1980,Topps,Topps,255,Dusty Baker,
1980,Topps,Topps,256,Roger Erickson,
1980,Topps,Topps,257,Larry Herndon,
1980,Topps,Topps,258,Paul Moskau,
1980,Topps,Topps,259,Joe Torre,New York Mets Team Checklist
1980,Topps,Topps,260,Al Oliver,
1980,Topps,Topps,261,Dave Chalk,
1980,Topps,Topps,262,Benny Ayala,
1980,Topps,Topps,263,Dave LaRoche,
1980,Topps,Topps,264,Bill Robinson,
1980,Topps,Topps,265,Robin Yount,
1980,Topps,Topps,266,Bernie Carbo,
1980,Topps,Topps,267,Dan Schatzeder,
1980,Topps,Topps,268,Rafael Landestoy,
1980,Topps,Topps,269,Dave Tobik,
1980,Topps,Topps,270,Mike Schmidt,
1980,Topps,Topps,271,Dick Drago,
1980,Topps,Topps,272,Ralph Garr,
1980,Topps,Topps,273,Eduardo Rodriguez,
1980,Topps,Topps,274,Dale Murphy,
1980,Topps,Topps,275,Jerry Koosman,
1980,Topps,Topps,276,Tom Veryzer,
1980,Topps,Topps,277,Rick Bosetti,
1980,Topps,Topps,278,Jim Spencer,
1980,Topps,Topps,279,Rob Andrews,
1980,Topps,Topps,280,Gaylord Perry,
1980,Topps,Topps,281,Paul Blair,
1980,Topps,Topps,282,Darrell Johnson,Seattle Mariners Team Checklist
1980,Topps,Topps,283,John Ellis,
1980,Topps,Topps,284,Larry Murray,Rookie Card
1980,Topps,Topps,285,Don Baylor,
1980,Topps,Topps,286,Darold Knowles,
1980,Topps,Topps,287,John Lowenstein,
1980,Topps,Topps,288,Dave Rozema,
1980,Topps,Topps,289,Bruce Bochy,
1980,Topps,Topps,290,Steve Garvey,
1980,Topps,Topps,291,Randy Scarbery,Rookie Card
1980,Topps,Topps,292,Dale Berra,
1980,Topps,Topps,293,Elias Sosa,
1980,Topps,Topps,294,Charlie Spikes,
1980,Topps,Topps,295,Larry Gura,
1980,Topps,Topps,296,Dave Rader,
1980,Topps,Topps,297,Tim Johnson,
1980,Topps,Topps,298,Ken Holtzman,
1980,Topps,Topps,299,Steve Henderson,
1980,Topps,Topps,300,Ron Guidry,
1980,Topps,Topps,301,Mike Edwards,
1980,Topps,Topps,302,Tommy Lasorda,Los Angeles Dodgers Team Checklist
1980,Topps,Topps,303,Bill Castro,
1980,Topps,Topps,304,Butch Wynegar,
1980,Topps,Topps,305,Randy Jones,
1980,Topps,Topps,306,Denny Walling,
1980,Topps,Topps,307,Rick Honeycutt,
1980,Topps,Topps,308,Mike Hargrove,
1980,Topps,Topps,309,Larry McWilliams,
1980,Topps,Topps,310,Dave Parker,
1980,Topps,Topps,311,Roger Metzger,
1980,Topps,Topps,312,Mike Barlow,
1980,Topps,Topps,313,Johnny Grubb,
1980,Topps,Topps,314,Tim Stoddard,
1980,Topps,Topps,315,Steve Kemp,
1980,Topps,Topps,316,Bob Lacey,
1980,Topps,Topps,317,Mike Anderson,
1980,Topps,Topps,318,Jerry Reuss,
1980,Topps,Topps,319,Chris Speier,
1980,Topps,Topps,320,Dennis Eckersley,
1980,Topps,Topps,321,Keith Hernandez,
1980,Topps,Topps,322,Claudell Washington,
1980,Topps,Topps,323,Mick Kelleher,
1980,Topps,Topps,324,Tom Underwood,
1980,Topps,Topps,325,Dan Driessen,
1980,Topps,Topps,326,Bo McLaughlin,
1980,Topps,Topps,327,Ray Fosse,
1980,Topps,Topps,328,Gene Mauch,Minnesota Twins Team Checklist
1980,Topps,Topps,329,Bert Roberge,
1980,Topps,Topps,330,Al Cowens,
1980,Topps,Topps,331,Richie Hebner,
1980,Topps,Topps,332,Enrique Romo,
1980,Topps,Topps,333,Jim Norris,
1980,Topps,Topps,334,Jim Beattie,
1980,Topps,Topps,335,Willie McCovey,
1980,Topps,Topps,336,Doc Medich,
1980,Topps,Topps,337,Carney Lansford,
1980,Topps,Topps,338,John Wockenfuss,
1980,Topps,Topps,339,John D'Acquisto,
1980,Topps,Topps,340,Ken Singleton,
1980,Topps,Topps,341,Jim Essian,
1980,Topps,Topps,342,Odell Jones,
1980,Topps,Topps,343,Mike Vail,
1980,Topps,Topps,344,Randy Lerch,
1980,Topps,Topps,345,Larry Parrish,
1980,Topps,Topps,346,Buddy Solomon,
1980,Topps,Topps,347,Harry Chappas,Rookie Card
1980,Topps,Topps,348,Checklist (243 - 363),
1980,Topps,Topps,349,Jack Brohamer,
1980,Topps,Topps,350,George Hendrick,
1980,Topps,Topps,351,Bob Davis,
1980,Topps,Topps,352,Dan Briggs,
