Year,Brand,Set,Card Number,Player,Notes
1998,Topps,Topps,1,Tony Gwynn,
1998,Topps,Topps,2,Larry Walker,
1998,Topps,Topps,3,Billy Wagner,
1998,Topps,Topps,4,Denny Neagle,
1998,Topps,Topps,5,Vladimir Guerrero,
1998,Topps,Topps,6,Kevin Brown,
1998,Topps,Topps,8,Mariano Rivera,
1998,Topps,Topps,9,Tony Clark,
1998,Topps,Topps,10,Deion Sanders,
1998,Topps,Topps,11,Francisco Cordova,
1998,Topps,Topps,12,Matt Williams,
1998,Topps,Topps,13,Carlos Baerga,
1998,Topps,Topps,14,Mo Vaughn,
1998,Topps,Topps,15,Bobby Witt,
1998,Topps,Topps,16,Matt Stairs,
1998,Topps,Topps,17,Chan Ho Park,
1998,Topps,Topps,18,Mike Bordick,
1998,Topps,Topps,19,Michael Tucker,
1998,Topps,Topps,20,Frank Thomas,
1998,Topps,Topps,21,Roberto Clemente,
1998,Topps,Topps,22,Dmitri Young,ASR
1998,Topps,Topps,23,Steve Trachsel,
1998,Topps,Topps,24,Jeff Kent,
1998,Topps,Topps,25,Scott Rolen,ASR
1998,Topps,Topps,26,John Thomson,
1998,Topps,Topps,27,Joe Vitiello,
1998,Topps,Topps,28,Eddie Guardado,
1998,Topps,Topps,29,Charlie Hayes,
1998,Topps,Topps,30,Juan Gonzalez,
1998,Topps,Topps,31,Garret Anderson,
1998,Topps,Topps,32,John Jaha,
1998,Topps,Topps,33,Omar Vizquel,
1998,Topps,Topps,34,Brian Hunter,
1998,Topps,Topps,35,Jeff Bagwell,
1998,Topps,Topps,36,Mark Lemke,
1998,Topps,Topps,37,Doug Glanville,
1998,Topps,Topps,38,Dan Wilson,
1998,Topps,Topps,39,Steve Cooke,
1998,Topps,Topps,40,Chili Davis,
1998,Topps,Topps,41,Mike Cameron,
1998,Topps,Topps,42,F.P. Santangelo,
1998,Topps,Topps,43,Brad Ausmus,
1998,Topps,Topps,44,Gary DiSarcina,
1998,Topps,Topps,45,Pat Hentgen,
1998,Topps,Topps,46,Wilton Guerrero,ASR
1998,Topps,Topps,47,Devon White,
1998,Topps,Topps,48,Danny Patterson,
1998,Topps,Topps,49,Pat Meares,
1998,Topps,Topps,50,Rafael Palmeiro,
1998,Topps,Topps,51,Mark Gardner,
1998,Topps,Topps,52,Jeff Blauser,
1998,Topps,Topps,53,Dave Hollins,
1998,Topps,Topps,54,Carlos Garcia,
1998,Topps,Topps,55,Ben McDonald,
1998,Topps,Topps,56,John Mabry,
1998,Topps,Topps,57,Trevor Hoffman,
1998,Topps,Topps,58,Tony Fernandez,
1998,Topps,Topps,59,Rich Loiselle,RC
1998,Topps,Topps,60,Mark Leiter,
1998,Topps,Topps,61,Pat Kelly,
1998,Topps,Topps,62,John Flaherty,
1998,Topps,Topps,63,Roger Bailey,
1998,Topps,Topps,64,Tom Gordon,
1998,Topps,Topps,65,Ryan Klesko,
1998,Topps,Topps,66,Darryl Hamilton,
1998,Topps,Topps,67,Jim Eisenreich,
1998,Topps,Topps,68,Butch Huskey,
1998,Topps,Topps,69,Mark Grudzielanek,
1998,Topps,Topps,70,Marquis Grissom,
1998,Topps,Topps,71,Mark McLemore,
1998,Topps,Topps,72,Gary Gaetti,
1998,Topps,Topps,73,Greg Gagne,
1998,Topps,Topps,74,Lyle Mouton,
1998,Topps,Topps,75,Jim Edmonds,
1998,Topps,Topps,76,Shawn Green,
1998,Topps,Topps,77,Greg Vaughn,
1998,Topps,Topps,78,Terry Adams,
1998,Topps,Topps,79,Kevin Polcovich,
1998,Topps,Topps,80,Troy O'Leary,
1998,Topps,Topps,81,Jeff Shaw,
1998,Topps,Topps,82,Rich Becker,
1998,Topps,Topps,83,David Wells,
1998,Topps,Topps,84,Steve Karsay,
1998,Topps,Topps,85,Charles Nagy,
1998,Topps,Topps,86,B.J. Surhoff,
1998,Topps,Topps,87,Jamey Wright,
1998,Topps,Topps,88,James Baldwin,
1998,Topps,Topps,89,Edgardo Alfonzo,
1998,Topps,Topps,90,Jay Buhner,
1998,Topps,Topps,91,Brady Anderson,
1998,Topps,Topps,92,Scott Servais,
1998,Topps,Topps,93,Edgar Renteria,
1998,Topps,Topps,94,Mike Lieberthal,
1998,Topps,Topps,95,Rick Aguilera,
1998,Topps,Topps,96,Walt Weiss,
1998,Topps,Topps,97,Deivi Cruz,
1998,Topps,Topps,98,Kurt Abbott,
1998,Topps,Topps,99,Henry Rodriguez,
1998,Topps,Topps,100,Mike Piazza,
1998,Topps,Topps,101,Bill Taylor,
1998,Topps,Topps,102,Todd Zeile,
1998,Topps,Topps,103,Rey Ordonez,
1998,Topps,Topps,104,Willie Greene,
1998,Topps,Topps,105,Tony Womack,
1998,Topps,Topps,106,Mike Sweeney,
1998,Topps,Topps,107,Jeffrey Hammonds,
1998,Topps,Topps,108,Kevin Orie,
1998,Topps,Topps,109,Alex Gonzalez,
1998,Topps,Topps,110,Jose Canseco,
1998,Topps,Topps,111,Paul Sorrento,
1998,Topps,Topps,112,Joey Hamilton,
1998,Topps,Topps,113,Brad Radke,
1998,Topps,Topps,114,Steve Avery,
