source_zip,source_file,side,reason
1985-Donruss.zip,1985_Donruss/6-3_Checklist-547-653-CL_back.jpg,back,combo/leader or unparseable number: '6-3'
1985-Donruss.zip,1985_Donruss/6-3_Checklist-547-653-CL_front.jpg,front,combo/leader or unparseable number: '6-3'
1986-Donruss.zip,1986_Donruss/2-3_Checklist-131-234-CL_back.jpg,back,'2-3' recovers to '2' (R3-version-suffix) but that slot is held by '1986_Donruss/2_Goose-Gossage-DK_back.jpg'
1986-Donruss.zip,1986_Donruss/2-3_Checklist-131-234-CL_front.jpg,front,'2-3' recovers to '2' (R3-version-suffix) but that slot is held by '1986_Donruss/2_Goose-Gossage-DK_front.jpg'
1986-Donruss.zip,1986_Donruss/3-2_Checklist-235-338-CL_back.jpg,back,'3-2' recovers to '3' (R3-version-suffix) but that slot is held by '1986_Donruss/3_Willie-McGee-DK_back.jpg'
1986-Donruss.zip,1986_Donruss/3-2_Checklist-235-338-CL_front.jpg,front,'3-2' recovers to '3' (R3-version-suffix) but that slot is held by '1986_Donruss/3_Willie-McGee-DK_front.jpg'
1986-Donruss.zip,1986_Donruss/4-3_Checklist-339-442-CL-UERUER-359-Ernie_back.jpg,back,'4-3' recovers to '4' (R3-version-suffix) but that slot is held by '1986_Donruss/4_George-Bell-DK_back.jpg'
1986-Donruss.zip,1986_Donruss/4-3_Checklist-339-442-CL-UERUER-359-Ernie_front.jpg,front,'4-3' recovers to '4' (R3-version-suffix) but that slot is held by '1986_Donruss/4_George-Bell-DK_front.jpg'
1986-Donruss.zip,1986_Donruss/5-3_Checklist-443-546-CL_back.jpg,back,'5-3' recovers to '5' (R3-version-suffix) but that slot is held by '1986_Donruss/5_Tony-Armas-DK_back.jpg'
1986-Donruss.zip,1986_Donruss/5-3_Checklist-443-546-CL_front.jpg,front,'5-3' recovers to '5' (R3-version-suffix) but that slot is held by '1986_Donruss/5_Tony-Armas-DK_front.jpg'
1986-Donruss.zip,1986_Donruss/6-3_Checklist-547-653-CL_back.jpg,back,'6-3' recovers to '6' (R3-version-suffix) but that slot is held by '1986_Donruss/6_Chili-Davis-DK_back.jpg'
1986-Donruss.zip,1986_Donruss/6-3_Checklist-547-653-CL_front.jpg,front,'6-3' recovers to '6' (R3-version-suffix) but that slot is held by '1986_Donruss/6_Chili-Davis-DK_front.jpg'
1988-Donruss.zip,1988_Donruss/100-2_Checklist-28-133-CLVAR-Factory-set-version-For-cards-28-133_back.jpg,back,combo/leader or unparseable number: '100-2'
1988-Donruss.zip,1988_Donruss/100-2_Checklist-28-133-CLVAR-Factory-set-version-For-cards-28-133_front.jpg,front,combo/leader or unparseable number: '100-2'
1988-Donruss.zip,1988_Donruss/200-2_Checklist-134-239-CLVAR-Factory-set-version-For-cards-134-23_back.jpg,back,combo/leader or unparseable number: '200-2'
1988-Donruss.zip,1988_Donruss/200-2_Checklist-134-239-CLVAR-Factory-set-version-For-cards-134-23_front.jpg,front,combo/leader or unparseable number: '200-2'
1988-Donruss.zip,1988_Donruss/300-2_Checklist-240-345-CLVAR-Factory-set-version-For-cards-240-34_back.jpg,back,combo/leader or unparseable number: '300-2'
1988-Donruss.zip,1988_Donruss/300-2_Checklist-240-345-CLVAR-Factory-set-version-For-cards-240-34_front.jpg,front,combo/leader or unparseable number: '300-2'
1988-Donruss.zip,1988_Donruss/400-2_Checklist-346-451-CLVAR-Factory-set-version-For-cards-346-45_back.jpg,back,combo/leader or unparseable number: '400-2'
1988-Donruss.zip,1988_Donruss/400-2_Checklist-346-451-CLVAR-Factory-set-version-For-cards-346-45_front.jpg,front,combo/leader or unparseable number: '400-2'
1988-Donruss.zip,1988_Donruss/500-2_Checklist-452-557-CLVAR-Factory-set-version-For-cards-452-55_back.jpg,back,combo/leader or unparseable number: '500-2'
1988-Donruss.zip,1988_Donruss/500-2_Checklist-452-557-CLVAR-Factory-set-version-For-cards-452-55_front.jpg,front,combo/leader or unparseable number: '500-2'
1988-Donruss.zip,1988_Donruss/600-2_Checklist-558-660-CLVAR-Factory-set-version-For-cards-558-66_back.jpg,back,combo/leader or unparseable number: '600-2'
1988-Donruss.zip,1988_Donruss/600-2_Checklist-558-660-CLVAR-Factory-set-version-For-cards-558-66_front.jpg,front,combo/leader or unparseable number: '600-2'
1989-Bowman.zip,1989_Bowman/431_Jose-DeLeon_back.jpg,back,number '431' not in catalog set 'bowman'
1989-Bowman.zip,1989_Bowman/431_Jose-DeLeon_front.jpg,front,number '431' not in catalog set 'bowman'
1989-Donruss.zip,1989_Donruss/600-2_Checklist-578-660-CL_back.jpg,back,combo/leader or unparseable number: '600-2'
1989-Donruss.zip,1989_Donruss/600-2_Checklist-578-660-CL_front.jpg,front,combo/leader or unparseable number: '600-2'
1989-Upper-Deck.zip,1989_Upper-Deck/13b_Gary-Sheffield-SR-RC-CORCOR-SS-on-upper-right-front-is-orien_back.jpg,back,'13b' recovers to '13' (R4-letter-variant) but that slot is held by '1989_Upper-Deck/13a_Gary-Sheffield-SR-RC-ERRERR-SS-on-upper-right-front-is-upsid_back.jpg'
